[Epoch = 0/1000]		loss: 235.9267		loss_rec: 0.0153		loss_ss: 0.8276		time: 16.3653
[Epoch = 2/1000]		loss: 166.3324		loss_rec: 0.0114		loss_ss: 0.5250		time: 15.8013
[Epoch = 4/1000]		loss: 126.3948		loss_rec: 0.0089		loss_ss: 0.3726		time: 15.5460
[Epoch = 6/1000]		loss: 99.8310		loss_rec: 0.0070		loss_ss: 0.2998		time: 15.5814
[Epoch = 8/1000]		loss: 99.3194		loss_rec: 0.0075		loss_ss: 0.2454		time: 15.7847
[Epoch = 10/1000]		loss: 118.4339		loss_rec: 0.0097		loss_ss: 0.2114		time: 15.6115
[Epoch = 12/1000]		loss: 83.0046		loss_rec: 0.0063		loss_ss: 0.1985		time: 15.4204
[Epoch = 14/1000]		loss: 82.7262		loss_rec: 0.0064		loss_ss: 0.1903		time: 15.4154
[Epoch = 16/1000]		loss: 91.2266		loss_rec: 0.0068		loss_ss: 0.2278		time: 15.4208
[Epoch = 18/1000]		loss: 72.3416		loss_rec: 0.0054		loss_ss: 0.1879		time: 15.4510
[Epoch = 20/1000]		loss: 75.2799		loss_rec: 0.0057		loss_ss: 0.1786		time: 15.6018
[Epoch = 22/1000]		loss: 90.7191		loss_rec: 0.0068		loss_ss: 0.2280		time: 15.4395
[Epoch = 24/1000]		loss: 83.1806		loss_rec: 0.0061		loss_ss: 0.2221		time: 15.4400
[Epoch = 26/1000]		loss: 74.1633		loss_rec: 0.0055		loss_ss: 0.1880		time: 15.4691
[Epoch = 28/1000]		loss: 73.2926		loss_rec: 0.0055		loss_ss: 0.1841		time: 15.7816
[Epoch = 30/1000]		loss: 81.5295		loss_rec: 0.0061		loss_ss: 0.2083		time: 15.4384
[Epoch = 32/1000]		loss: 95.1361		loss_rec: 0.0073		loss_ss: 0.2236		time: 15.4143
[Epoch = 34/1000]		loss: 79.0022		loss_rec: 0.0059		loss_ss: 0.1989		time: 15.4120
[Epoch = 36/1000]		loss: 73.7341		loss_rec: 0.0055		loss_ss: 0.1906		time: 15.4169
[Epoch = 38/1000]		loss: 72.3834		loss_rec: 0.0053		loss_ss: 0.1943		time: 15.6099
[Epoch = 40/1000]		loss: 74.8376		loss_rec: 0.0056		loss_ss: 0.1920		time: 15.5715
[Epoch = 42/1000]		loss: 84.6077		loss_rec: 0.0065		loss_ss: 0.1969		time: 15.5959
[Epoch = 44/1000]		loss: 72.2732		loss_rec: 0.0053		loss_ss: 0.1900		time: 15.6066
[Epoch = 46/1000]		loss: 71.4628		loss_rec: 0.0053		loss_ss: 0.1893		time: 15.8275
[Epoch = 48/1000]		loss: 73.2715		loss_rec: 0.0055		loss_ss: 0.1830		time: 15.5824
[Epoch = 50/1000]		loss: 80.2803		loss_rec: 0.0059		loss_ss: 0.2080		time: 15.5749
[Epoch = 52/1000]		loss: 84.7729		loss_rec: 0.0063		loss_ss: 0.2173		time: 15.5808
[Epoch = 54/1000]		loss: 78.9725		loss_rec: 0.0058		loss_ss: 0.2076		time: 15.6123
[Epoch = 56/1000]		loss: 82.9277		loss_rec: 0.0064		loss_ss: 0.1927		time: 15.5957
[Epoch = 58/1000]		loss: 83.5085		loss_rec: 0.0061		loss_ss: 0.2223		time: 15.9776
[Epoch = 60/1000]		loss: 76.9377		loss_rec: 0.0057		loss_ss: 0.1971		time: 15.5820
[Epoch = 62/1000]		loss: 72.1020		loss_rec: 0.0054		loss_ss: 0.1855		time: 15.6417
[Epoch = 64/1000]		loss: 85.5819		loss_rec: 0.0065		loss_ss: 0.2036		time: 15.5573
[Epoch = 66/1000]		loss: 74.3762		loss_rec: 0.0055		loss_ss: 0.1986		time: 15.5783
[Epoch = 68/1000]		loss: 77.9138		loss_rec: 0.0057		loss_ss: 0.2121		time: 15.6134
[Epoch = 70/1000]		loss: 86.4248		loss_rec: 0.0064		loss_ss: 0.2282		time: 15.6048
[Epoch = 72/1000]		loss: 70.7959		loss_rec: 0.0052		loss_ss: 0.1878		time: 15.5914
[Epoch = 74/1000]		loss: 70.5171		loss_rec: 0.0052		loss_ss: 0.1825		time: 15.8260
[Epoch = 76/1000]		loss: 73.3363		loss_rec: 0.0055		loss_ss: 0.1878		time: 15.7878
[Epoch = 78/1000]		loss: 88.4914		loss_rec: 0.0067		loss_ss: 0.2156		time: 15.8050
[Epoch = 80/1000]		loss: 73.4027		loss_rec: 0.0054		loss_ss: 0.1901		time: 15.7919
[Epoch = 82/1000]		loss: 78.6411		loss_rec: 0.0060		loss_ss: 0.1912		time: 15.6056
[Epoch = 84/1000]		loss: 67.3107		loss_rec: 0.0049		loss_ss: 0.1814		time: 17.3202
[Epoch = 86/1000]		loss: 61.9581		loss_rec: 0.0046		loss_ss: 0.1611		time: 15.4805
[Epoch = 88/1000]		loss: 62.3573		loss_rec: 0.0046		loss_ss: 0.1629		time: 15.4011
[Epoch = 90/1000]		loss: 93.6798		loss_rec: 0.0073		loss_ss: 0.2074		time: 15.7879
[Epoch = 92/1000]		loss: 83.5547		loss_rec: 0.0068		loss_ss: 0.1589		time: 15.7119
[Epoch = 94/1000]		loss: 69.8394		loss_rec: 0.0052		loss_ss: 0.1746		time: 15.6964
[Epoch = 96/1000]		loss: 77.3553		loss_rec: 0.0056		loss_ss: 0.2104		time: 15.4090
[Epoch = 98/1000]		loss: 76.0681		loss_rec: 0.0056		loss_ss: 0.2013		time: 15.5781
[Epoch = 100/1000]		loss: 74.4689		loss_rec: 0.0056		loss_ss: 0.1887		time: 15.4010
[Epoch = 102/1000]		loss: 72.4226		loss_rec: 0.0053		loss_ss: 0.1927		time: 15.3910
[Epoch = 104/1000]		loss: 84.5150		loss_rec: 0.0063		loss_ss: 0.2134		time: 15.3978
[Epoch = 106/1000]		loss: 73.0622		loss_rec: 0.0054		loss_ss: 0.1926		time: 15.4040
[Epoch = 108/1000]		loss: 63.4659		loss_rec: 0.0047		loss_ss: 0.1600		time: 15.5802
[Epoch = 110/1000]		loss: 93.5785		loss_rec: 0.0073		loss_ss: 0.2097		time: 15.3923
[Epoch = 112/1000]		loss: 74.9739		loss_rec: 0.0054		loss_ss: 0.2076		time: 15.6145
[Epoch = 114/1000]		loss: 80.0664		loss_rec: 0.0058		loss_ss: 0.2165		time: 15.3902
[Epoch = 116/1000]		loss: 68.1359		loss_rec: 0.0050		loss_ss: 0.1769		time: 15.5872
[Epoch = 118/1000]		loss: 70.2459		loss_rec: 0.0051		loss_ss: 0.1938		time: 15.3859
[Epoch = 120/1000]		loss: 71.5424		loss_rec: 0.0052		loss_ss: 0.1954		time: 15.4148
[Epoch = 122/1000]		loss: 63.4392		loss_rec: 0.0046		loss_ss: 0.1731		time: 15.3895
[Epoch = 124/1000]		loss: 74.4662		loss_rec: 0.0054		loss_ss: 0.2023		time: 15.7530
[Epoch = 126/1000]		loss: 80.2851		loss_rec: 0.0059		loss_ss: 0.2129		time: 15.8099
[Epoch = 128/1000]		loss: 80.0629		loss_rec: 0.0060		loss_ss: 0.1968		time: 16.1881
[Epoch = 130/1000]		loss: 64.0582		loss_rec: 0.0047		loss_ss: 0.1715		time: 15.9914
[Epoch = 132/1000]		loss: 71.8471		loss_rec: 0.0054		loss_ss: 0.1743		time: 16.0158
[Epoch = 134/1000]		loss: 70.2234		loss_rec: 0.0052		loss_ss: 0.1843		time: 16.0044
[Epoch = 136/1000]		loss: 71.7081		loss_rec: 0.0054		loss_ss: 0.1776		time: 15.8069
[Epoch = 138/1000]		loss: 75.2145		loss_rec: 0.0056		loss_ss: 0.1937		time: 15.9772
[Epoch = 140/1000]		loss: 77.1195		loss_rec: 0.0058		loss_ss: 0.1939		time: 15.7815
[Epoch = 142/1000]		loss: 71.7913		loss_rec: 0.0052		loss_ss: 0.1940		time: 16.0392
[Epoch = 144/1000]		loss: 72.5424		loss_rec: 0.0053		loss_ss: 0.1971		time: 17.8208
[Epoch = 146/1000]		loss: 82.9748		loss_rec: 0.0062		loss_ss: 0.2131		time: 16.1487
[Epoch = 148/1000]		loss: 62.5317		loss_rec: 0.0046		loss_ss: 0.1613		time: 15.8047
[Epoch = 150/1000]		loss: 62.6081		loss_rec: 0.0046		loss_ss: 0.1626		time: 15.8031
[Epoch = 152/1000]		loss: 68.3078		loss_rec: 0.0051		loss_ss: 0.1738		time: 15.7982
[Epoch = 154/1000]		loss: 64.0315		loss_rec: 0.0047		loss_ss: 0.1712		time: 15.7947
[Epoch = 156/1000]		loss: 77.4581		loss_rec: 0.0058		loss_ss: 0.1912		time: 15.7816
[Epoch = 158/1000]		loss: 90.4712		loss_rec: 0.0068		loss_ss: 0.2207		time: 16.2037
[Epoch = 160/1000]		loss: 73.3265		loss_rec: 0.0054		loss_ss: 0.1887		time: 15.9940
[Epoch = 162/1000]		loss: 70.9014		loss_rec: 0.0052		loss_ss: 0.1876		time: 16.0045
[Epoch = 164/1000]		loss: 66.8884		loss_rec: 0.0049		loss_ss: 0.1748		time: 15.7974
[Epoch = 166/1000]		loss: 77.3532		loss_rec: 0.0058		loss_ss: 0.1925		time: 15.9615
[Epoch = 168/1000]		loss: 70.3527		loss_rec: 0.0052		loss_ss: 0.1804		time: 15.7541
[Epoch = 170/1000]		loss: 60.0175		loss_rec: 0.0043		loss_ss: 0.1664		time: 15.7975
[Epoch = 172/1000]		loss: 66.0269		loss_rec: 0.0047		loss_ss: 0.1867		time: 15.9625
[Epoch = 174/1000]		loss: 72.9345		loss_rec: 0.0054		loss_ss: 0.1932		time: 16.1983
[Epoch = 176/1000]		loss: 65.1669		loss_rec: 0.0047		loss_ss: 0.1771		time: 16.0062
